ticker,ticker_sec,name,sector,weight,identifier,isin,asset_class,cik,sec_title,cik_status
NVDA,NVDA,NVIDIA CORP,-,8.074113,67066G104,,,0001045810,NVIDIA CORP,PRESENT
AAPL,AAPL,APPLE INC,-,7.026636,037833100,,,0000320193,Apple Inc.,PRESENT
MSFT,MSFT,MICROSOFT CORP,-,5.689832,594918104,,,0000789019,MICROSOFT CORP,PRESENT
AMZN,AMZN,AMAZON.COM INC,-,3.839695,023135106,,,0001018724,AMAZON COM INC,PRESENT
GOOGL,GOOGL,ALPHABET INC CL A,-,3.004561,02079K305,,,0001652044,Alphabet Inc.,PRESENT
AVGO,AVGO,BROADCOM INC,-,2.647594,11135F101,,,0001730168,Broadcom Inc.,PRESENT
GOOG,GOOG,ALPHABET INC CL C,-,2.393675,02079K107,,,0001652044,Alphabet Inc.,PRESENT
META,META,META PLATFORMS INC CLASS A,-,1.897786,30303M102,,,0001326801,"Meta Platforms, Inc.",PRESENT
MU,MU,MICRON TECHNOLOGY INC,-,1.632455,595112103,,,0000723125,MICRON TECHNOLOGY INC,PRESENT
TSLA,TSLA,TESLA INC,-,1.564033,88160R101,,,0001318605,"Tesla, Inc.",PRESENT
JPM,JPM,JPMORGAN CHASE + CO,-,1.440334,46625H100,,,0000019617,JPMORGAN CHASE & CO,PRESENT
BRK.B,BRK-B,BERKSHIRE HATHAWAY INC CL B,-,1.395181,084670702,,,0001067983,BERKSHIRE HATHAWAY INC,PRESENT
LLY,LLY,ELI LILLY + CO,-,1.381568,532457108,,,0000059478,ELI LILLY & Co,PRESENT
AMD,AMD,ADVANCED MICRO DEVICES,-,1.158868,007903107,,,0000002488,ADVANCED MICRO DEVICES INC,PRESENT
XOM,XOM,EXXONMOBIL HOLDINGS CORP,-,1.007198,30233Q108,,,0002115436,ExxonMobil Holdings Corp,PRESENT
JNJ,JNJ,JOHNSON + JOHNSON,-,0.966164,478160104,,,0000200406,JOHNSON & JOHNSON,PRESENT
V,V,VISA INC CLASS A SHARES,-,0.950521,92826C839,,,0001403161,VISA INC.,PRESENT
MA,MA,MASTERCARD INC A,-,0.717819,57636Q104,,,0001141391,Mastercard Inc,PRESENT
WMT,WMT,WALMART INC,-,0.694071,931142103,,,0000104169,Walmart Inc.,PRESENT
ABBV,ABBV,ABBVIE INC,-,0.683906,00287Y109,,,0001551152,AbbVie Inc.,PRESENT
INTC,INTC,INTEL CORP,-,0.66738,458140100,,,0000050863,INTEL CORP,PRESENT
CSCO,CSCO,CISCO SYSTEMS INC,-,0.658823,17275R102,,,0000858877,"CISCO SYSTEMS, INC.",PRESENT
PLTR,PLTR,PALANTIR TECHNOLOGIES INC A,-,0.645953,69608A108,,,0001321655,Palantir Technologies Inc.,PRESENT
COST,COST,COSTCO WHOLESALE CORP,-,0.63215,22160K105,,,0000909832,COSTCO WHOLESALE CORP /NEW,PRESENT
BAC,BAC,BANK OF AMERICA CORP,-,0.610468,060505104,,,0000070858,BANK OF AMERICA CORP /DE/,PRESENT
CVX,CVX,CHEVRON CORP,-,0.582543,166764100,,,0000093410,CHEVRON CORP,PRESENT
LRCX,LRCX,LAM RESEARCH CORP,-,0.569349,512807306,,,0000707549,LAM RESEARCH CORP,PRESENT
CAT,CAT,CATERPILLAR INC,-,0.554465,149123101,,,0000018230,CATERPILLAR INC,PRESENT
MRK,MRK,MERCK + CO. INC.,-,0.551048,58933Y105,,,0000310158,"Merck & Co., Inc.",PRESENT
AMAT,AMAT,APPLIED MATERIALS INC,-,0.549368,038222105,,,0000006951,APPLIED MATERIALS INC /DE,PRESENT
UNH,UNH,UNITEDHEALTH GROUP INC,-,0.533819,91324P102,,,0000731766,UNITEDHEALTH GROUP INC,PRESENT
GE,GE,GENERAL ELECTRIC,-,0.528724,369604301,,,0000040545,GENERAL ELECTRIC CO,PRESENT
KO,KO,COCA COLA CO/THE,-,0.518241,191216100,,,0000021344,COCA COLA CO,PRESENT
NFLX,NFLX,NETFLIX INC,-,0.515113,64110L106,,,0001065280,NETFLIX INC,PRESENT
PG,PG,PROCTER + GAMBLE CO/THE,-,0.510048,742718109,,,0000080424,PROCTER & GAMBLE Co,PRESENT
HD,HD,HOME DEPOT INC,-,0.492842,437076102,,,0000354950,"HOME DEPOT, INC.",PRESENT
PANW,PANW,PALO ALTO NETWORKS INC,-,0.467774,697435105,,,0001327567,Palo Alto Networks Inc,PRESENT
GS,GS,GOLDMAN SACHS GROUP INC,-,0.454554,38141G104,,,0000886982,GOLDMAN SACHS GROUP INC,PRESENT
PM,PM,PHILIP MORRIS INTERNATIONAL,-,0.440613,718172109,,,0001413329,Philip Morris International Inc.,PRESENT
RTX,RTX,RTX CORP,-,0.422392,75513E101,,,0000101829,RTX Corp,PRESENT
WFC,WFC,WELLS FARGO + CO,-,0.399015,949746101,,,0000072971,WELLS FARGO & COMPANY/MN,PRESENT
MS,MS,MORGAN STANLEY,-,0.385942,617446448,,,0000895421,MORGAN STANLEY,PRESENT
ORCL,ORCL,ORACLE CORP,-,0.382192,68389X105,,,0001341439,ORACLE CORP,PRESENT
GEV,GEV,GE VERNOVA INC,-,0.364701,36828A101,,,0001996810,GE Vernova Inc.,PRESENT
TXN,TXN,TEXAS INSTRUMENTS INC,-,0.358504,882508104,,,0000097476,TEXAS INSTRUMENTS INC,PRESENT
CRWD,CRWD,CROWDSTRIKE HOLDINGS INC A,-,0.355078,22788C105,,,0001535527,"CrowdStrike Holdings, Inc.",PRESENT
SNDK,SNDK,SANDISK CORP,-,0.350454,80004C200,,,0002023554,Sandisk Corp,PRESENT
AMGN,AMGN,AMGEN INC,-,0.35034,031162100,,,0000318154,AMGEN INC,PRESENT
TMO,TMO,THERMO FISHER SCIENTIFIC INC,-,0.346211,883556102,,,0000097745,THERMO FISHER SCIENTIFIC INC.,PRESENT
KLAC,KLAC,KLA CORP,-,0.346032,482480100,,,0000319201,KLA CORP,PRESENT
LIN,LIN,LINDE PLC,-,0.341602,G54950103,,,0001707925,LINDE PLC,PRESENT
C,C,CITIGROUP INC,-,0.338802,172967424,,,0000831001,CITIGROUP INC,PRESENT
IBM,IBM,INTL BUSINESS MACHINES CORP,-,0.331724,459200101,,,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,PRESENT
CRM,CRM,SALESFORCE INC,-,0.31799,79466L302,,,0001108524,"Salesforce, Inc.",PRESENT
VZ,VZ,VERIZON COMMUNICATIONS INC,-,0.315292,92343V104,,,0000732712,VERIZON COMMUNICATIONS INC,PRESENT
ANET,ANET,ARISTA NETWORKS INC,-,0.305028,040413205,,,0001596532,"Arista Networks, Inc.",PRESENT
APH,APH,AMPHENOL CORP CL A,-,0.294457,032095101,,,0000820313,AMPHENOL CORP /DE/,PRESENT
ABT,ABT,ABBOTT LABORATORIES,-,0.290176,002824100,,,0000001800,ABBOTT LABORATORIES,PRESENT
PEP,PEP,PEPSICO INC,-,0.289547,713448108,,,0000077476,PEPSICO INC,PRESENT
DIS,DIS,WALT DISNEY CO/THE,-,0.281912,254687106,,,0001744489,Walt Disney Co,PRESENT
MCD,MCD,MCDONALD S CORP,-,0.280668,580135101,,,0000063908,MCDONALDS CORP,PRESENT
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,-,0.280312,G7997R103,,,0001137789,Seagate Technology Holdings plc,PRESENT
MRVL,MRVL,MARVELL TECHNOLOGY INC,-,0.279648,573874104,,,0001835632,"Marvell Technology, Inc.",PRESENT
GILD,GILD,GILEAD SCIENCES INC,-,0.274244,375558103,,,0000882095,"GILEAD SCIENCES, INC.",PRESENT
T,T,AT+T INC,-,0.271531,00206R102,,,0000732717,AT&T INC.,PRESENT
QCOM,QCOM,QUALCOMM INC,-,0.27122,747525103,,,0000804328,QUALCOMM INC/DE,PRESENT
SCHW,SCHW,SCHWAB (CHARLES) CORP,-,0.270999,808513105,,,0000316709,SCHWAB CHARLES CORP,PRESENT
UNP,UNP,UNION PACIFIC CORP,-,0.269452,907818108,,,0000100885,UNION PACIFIC CORP,PRESENT
ADI,ADI,ANALOG DEVICES INC,-,0.266069,032654105,,,0000006281,ANALOG DEVICES INC,PRESENT
AXP,AXP,AMERICAN EXPRESS CO,-,0.265246,025816109,,,0000004962,AMERICAN EXPRESS CO,PRESENT
NEE,NEE,NEXTERA ENERGY INC,-,0.259186,65339F101,,,0000753308,NEXTERA ENERGY INC,PRESENT
BLK,BLK,BLACKROCK INC,-,0.251816,09290D101,,,0002012383,"BlackRock, Inc.",PRESENT
WELL,WELL,WELLTOWER INC,-,0.251702,95040Q104,,,0000766704,WELLTOWER INC.,PRESENT
DE,DE,DEERE + CO,-,0.248301,244199105,,,0000315189,DEERE & CO,PRESENT
BA,BA,BOEING CO/THE,-,0.247248,097023105,,,0000012927,BOEING CO,PRESENT
PFE,PFE,PFIZER INC,-,0.244725,717081103,,,0000078003,PFIZER INC,PRESENT
COP,COP,CONOCOPHILLIPS,-,0.243617,20825C104,,,0001163165,CONOCOPHILLIPS,PRESENT
ETN,ETN,EATON CORP PLC,-,0.235551,G29183103,,,0001551182,Eaton Corp plc,PRESENT
WDC,WDC,WESTERN DIGITAL CORP,-,0.234324,958102105,,,0000106040,WESTERN DIGITAL CORP,PRESENT
BKNG,BKNG,BOOKING HOLDINGS INC,-,0.232851,09857L108,,,0001075531,Booking Holdings Inc.,PRESENT
UBER,UBER,UBER TECHNOLOGIES INC,-,0.232426,90353T100,,,0001543151,"Uber Technologies, Inc",PRESENT
NOW,NOW,SERVICENOW INC,-,0.230319,81762P102,,,0001373715,"ServiceNow, Inc.",PRESENT
TJX,TJX,TJX COMPANIES INC,-,0.223513,872540109,,,0000109198,TJX COMPANIES INC /DE/,PRESENT
VRTX,VRTX,VERTEX PHARMACEUTICALS INC,-,0.208474,92532F100,,,0000875320,VERTEX PHARMACEUTICALS INC / MA,PRESENT
BMY,BMY,BRISTOL MYERS SQUIBB CO,-,0.205806,110122108,,,0000014272,BRISTOL MYERS SQUIBB CO,PRESENT
NEM,NEM,NEWMONT CORP,-,0.203,651639106,,,0001164727,NEWMONT Corp /DE/,PRESENT
DHR,DHR,DANAHER CORP,-,0.202926,235851102,,,0000313616,DANAHER CORP /DE/,PRESENT
COF,COF,CAPITAL ONE FINANCIAL CORP,-,0.201449,14040H105,,,0000927628,CAPITAL ONE FINANCIAL CORP,PRESENT
ISRG,ISRG,INTUITIVE SURGICAL INC,-,0.201353,46120E602,,,0001035267,INTUITIVE SURGICAL INC,PRESENT
PLD,PLD,PROLOGIS INC,-,0.200115,74340W103,,,0001045609,"Prologis, Inc.",PRESENT
SPGI,SPGI,S+P GLOBAL INC,-,0.199337,78409V104,,,0000064040,S&P Global Inc.,PRESENT
DELL,DELL,DELL TECHNOLOGIES C,-,0.19907,24703L202,,,0001571996,Dell Technologies Inc.,PRESENT
PGR,PGR,PROGRESSIVE CORP,-,0.19222,743315103,,,0000080661,PROGRESSIVE CORP/OH/,PRESENT
PH,PH,PARKER HANNIFIN CORP,-,0.186292,701094104,,,0000076334,Parker-Hannifin Corp,PRESENT
CB,CB,CHUBB LTD,-,0.184232,H1467J104,,,0000896159,Chubb Ltd,PRESENT
SBUX,SBUX,STARBUCKS CORP,-,0.182657,855244109,,,0000829224,STARBUCKS CORP,PRESENT
CVS,CVS,CVS HEALTH CORP,-,0.180742,126650100,,,0000064803,CVS HEALTH Corp,PRESENT
ADBE,ADBE,ADOBE INC,-,0.178471,00724F101,,,0000796343,ADOBE INC.,PRESENT
GLW,GLW,CORNING INC,-,0.175715,219350105,,,0000024741,CORNING INC /NY,PRESENT
ACN,ACN,ACCENTURE PLC CL A,-,0.175706,G1151C101,,,0001467373,Accenture plc,PRESENT
MDT,MDT,MEDTRONIC PLC,-,0.175545,G5960L103,,,0001613103,Medtronic plc,PRESENT
LOW,LOW,LOWE S COS INC,-,0.17293,548661107,,,0000060667,LOWES COMPANIES INC,PRESENT
ADP,ADP,AUTOMATIC DATA PROCESSING,-,0.172522,053015103,,,0000008670,AUTOMATIC DATA PROCESSING INC,PRESENT
MO,MO,ALTRIA GROUP INC,-,0.17247,02209S103,,,0000764180,"ALTRIA GROUP, INC.",PRESENT
LMT,LMT,LOCKHEED MARTIN CORP,-,0.170813,539830109,,,0000936468,LOCKHEED MARTIN CORP,PRESENT
SYK,SYK,STRYKER CORP,-,0.168508,863667101,,,0000310764,STRYKER CORP,PRESENT
BNY,BNY,BANK OF NEW YORK MELLON CORP,-,0.166963,064058100,,,0001390777,Bank of New York Mellon Corp,PRESENT
FCX,FCX,FREEPORT MCMORAN INC,-,0.164571,35671D857,,,0000831259,FREEPORT-MCMORAN INC,PRESENT
MPC,MPC,MARATHON PETROLEUM CORP,-,0.164357,56585A102,,,0001510295,Marathon Petroleum Corp,PRESENT
VLO,VLO,VALERO ENERGY CORP,-,0.160715,91913Y100,,,0001035002,VALERO ENERGY CORP/TX,PRESENT
FTNT,FTNT,FORTINET INC,-,0.16051,34959E109,,,0001262039,"Fortinet, Inc.",PRESENT
BX,BX,BLACKSTONE INC,-,0.160484,09260D107,,,0001393818,Blackstone Inc.,PRESENT
MCK,MCK,MCKESSON CORP,-,0.160392,58155Q103,,,0000927653,MCKESSON CORP,PRESENT
CME,CME,CME GROUP INC,-,0.155995,12572Q105,,,0001156375,CME GROUP INC.,PRESENT
EQIX,EQIX,EQUINIX INC,-,0.155879,29444U700,,,0001101239,EQUINIX INC,PRESENT
INTU,INTU,INTUIT INC,-,0.150178,461202103,,,0000896878,INTUIT INC.,PRESENT
VRT,VRT,VERTIV HOLDINGS CO A,-,0.150119,92537N108,,,0001674101,Vertiv Holdings Co,PRESENT
SO,SO,SOUTHERN CO/THE,-,0.149609,842587107,,,0000092122,SOUTHERN CO,PRESENT
PSX,PSX,PHILLIPS 66,-,0.149421,718546104,,,0001534701,Phillips 66,PRESENT
TT,TT,TRANE TECHNOLOGIES PLC,-,0.14814,G8994E103,,,0001466258,Trane Technologies plc,PRESENT
HWM,HWM,HOWMET AEROSPACE INC,-,0.147822,443201108,,,0000004281,Howmet Aerospace Inc.,PRESENT
PNC,PNC,PNC FINANCIAL SERVICES GROUP,-,0.145127,693475105,,,0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",PRESENT
USB,USB,US BANCORP,-,0.144156,902973304,,,0000036104,US BANCORP \DE\,PRESENT
CMCSA,CMCSA,COMCAST CORP CLASS A,-,0.143351,20030N101,,,0001166691,COMCAST CORP,PRESENT
GD,GD,GENERAL DYNAMICS CORP,-,0.142463,369550108,,,0000040533,GENERAL DYNAMICS CORP,PRESENT
CSX,CSX,CSX CORP,-,0.141861,126408103,,,0000277948,CSX CORP,PRESENT
CDNS,CDNS,CADENCE DESIGN SYS INC,-,0.14124,127387108,,,0000813672,CADENCE DESIGN SYSTEMS INC,PRESENT
DUK,DUK,DUKE ENERGY CORP,-,0.140958,26441C204,,,0001326160,Duke Energy CORP,PRESENT
WMB,WMB,WILLIAMS COS INC,-,0.138496,969457100,,,0000107263,"WILLIAMS COMPANIES, INC.",PRESENT
MRSH,MRSH,MARSH + MCLENNAN COS,-,0.138213,571748102,,,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",PRESENT
PWR,PWR,QUANTA SERVICES INC,-,0.137386,74762E102,,,0001050915,"QUANTA SERVICES, INC.",PRESENT
ICE,ICE,INTERCONTINENTAL EXCHANGE IN,-,0.137367,45866F104,,,0001571949,"Intercontinental Exchange, Inc.",PRESENT
SLB,SLB,SLB LTD,-,0.135808,806857108,,,0000087347,SLB LIMITED/NV,PRESENT
MMM,MMM,3M CO,-,0.135456,88579Y101,,,0000066740,3M CO,PRESENT
CEG,CEG,CONSTELLATION ENERGY,-,0.132759,21037T109,,,0001868275,Constellation Energy Corp,PRESENT
DASH,DASH,DOORDASH INC A,-,0.132546,25809K105,,,0001792789,"DoorDash, Inc.",PRESENT
EMR,EMR,EMERSON ELECTRIC CO,-,0.129062,291011104,,,0000032604,EMERSON ELECTRIC CO,PRESENT
ELV,ELV,ELEVANCE HEALTH INC,-,0.128852,036752103,,,0001156039,"Elevance Health, Inc.",PRESENT
JCI,JCI,JOHNSON CONTROLS INTERNATION,-,0.127486,G51502105,,,0000833444,Johnson Controls International plc,PRESENT
SNPS,SNPS,SYNOPSYS INC,-,0.12728,871607107,,,0000883241,SYNOPSYS INC,PRESENT
TMUS,TMUS,T MOBILE US INC,-,0.126923,872590104,,,0001283699,"T-Mobile US, Inc.",PRESENT
APP,APP,APPLOVIN CORP CLASS A,-,0.126904,03831W108,,,0001751008,AppLovin Corp,PRESENT
HOOD,HOOD,ROBINHOOD MARKETS INC A,-,0.12504,770700102,,,0001783879,"Robinhood Markets, Inc.",PRESENT
AMT,AMT,AMERICAN TOWER CORP,-,0.123727,03027X100,,,0001053507,AMERICAN TOWER CORP /MA/,PRESENT
WM,WM,WASTE MANAGEMENT INC,-,0.122247,94106L109,,,0000823768,WASTE MANAGEMENT INC,PRESENT
MSI,MSI,MOTOROLA SOLUTIONS INC,-,0.121724,620076307,,,0000068505,"Motorola Solutions, Inc.",PRESENT
REGN,REGN,REGENERON PHARMACEUTICALS,-,0.120693,75886F107,,,0000872589,"REGENERON PHARMACEUTICALS, INC.",PRESENT
MDLZ,MDLZ,MONDELEZ INTERNATIONAL INC A,-,0.120117,609207105,,,0001103982,"Mondelez International, Inc.",PRESENT
DDOG,DDOG,DATADOG INC CLASS A,-,0.118537,23804L103,,,0001561550,"Datadog, Inc.",PRESENT
CMI,CMI,CUMMINS INC,-,0.117717,231021106,,,0000026172,CUMMINS INC,PRESENT
GM,GM,GENERAL MOTORS CO,-,0.117644,37045V100,,,0001467858,General Motors Co,PRESENT
UPS,UPS,UNITED PARCEL SERVICE CL B,-,0.117622,911312106,,,0001090727,UNITED PARCEL SERVICE INC,PRESENT
TRV,TRV,TRAVELERS COS INC/THE,-,0.117604,89417E109,,,0000086312,"TRAVELERS COMPANIES, INC.",PRESENT
SHW,SHW,SHERWIN WILLIAMS CO/THE,-,0.117465,824348106,,,0000089800,SHERWIN WILLIAMS CO,PRESENT
EOG,EOG,EOG RESOURCES INC,-,0.116705,26875P101,,,0000821189,EOG RESOURCES INC,PRESENT
NSC,NSC,NORFOLK SOUTHERN CORP,-,0.116092,655844108,,,0000702165,NORFOLK SOUTHERN CORP,PRESENT
ABNB,ABNB,AIRBNB INC CLASS A,-,0.115735,009066101,,,0001559720,"Airbnb, Inc.",PRESENT
KKR,KKR,KKR + CO INC,-,0.114658,48251W104,,,0001404912,KKR & Co. Inc.,PRESENT
MCO,MCO,MOODY S CORP,-,0.114595,615369105,,,0001059556,MOODYS CORP /DE/,PRESENT
MAR,MAR,MARRIOTT INTERNATIONAL CL A,-,0.113061,571903202,,,0001048286,MARRIOTT INTERNATIONAL INC /MD/,PRESENT
ROST,ROST,ROSS STORES INC,-,0.111288,778296103,,,0000745732,"ROSS STORES, INC.",PRESENT
ORLY,ORLY,O REILLY AUTOMOTIVE INC,-,0.111227,67103H107,,,0000898173,O REILLY AUTOMOTIVE INC,PRESENT
CI,CI,THE CIGNA GROUP,-,0.110378,125523100,,,0001739940,Cigna Group,PRESENT
TGT,TGT,TARGET CORP,-,0.110241,87612E106,,,0000027419,TARGET CORP,PRESENT
ITW,ITW,ILLINOIS TOOL WORKS,-,0.108976,452308109,,,0000049826,ILLINOIS TOOL WORKS INC,PRESENT
NOC,NOC,NORTHROP GRUMMAN CORP,-,0.108892,666807102,,,0001133421,NORTHROP GRUMMAN CORP /DE/,PRESENT
HLT,HLT,HILTON WORLDWIDE HOLDINGS IN,-,0.10883,43300A203,,,0001585689,Hilton Worldwide Holdings Inc.,PRESENT
CL,CL,COLGATE PALMOLIVE CO,-,0.108637,194162103,,,0000021665,COLGATE PALMOLIVE CO,PRESENT
FDX,FDX,FEDEX CORP,-,0.108623,31428X106,,,0001048911,FEDEX CORP,PRESENT
BSX,BSX,BOSTON SCIENTIFIC CORP,-,0.108509,101137107,,,0000885725,BOSTON SCIENTIFIC CORP,PRESENT
ECL,ECL,ECOLAB INC,-,0.108429,278865100,,,0000031462,ECOLAB INC.,PRESENT
LITE,LITE,LUMENTUM HOLDINGS INC,-,0.10756,55024U109,,,0001633978,Lumentum Holdings Inc.,PRESENT
WBD,WBD,WARNER BROS DISCOVERY INC,-,0.106874,934423104,,,0001437107,"Warner Bros. Discovery, Inc.",PRESENT
HPE,HPE,HEWLETT PACKARD ENTERPRISE,-,0.104734,42824C109,,,0001645590,Hewlett Packard Enterprise Co,PRESENT
APD,APD,AIR PRODUCTS + CHEMICALS INC,-,0.104192,009158106,,,0000002969,"Air Products & Chemicals, Inc.",PRESENT
SPG,SPG,SIMON PROPERTY GROUP INC,-,0.104068,828806109,,,0001063761,SIMON PROPERTY GROUP INC.,PRESENT
AON,AON,AON PLC CLASS A,-,0.1038,G0403H108,,,0000315293,Aon plc,PRESENT
CTAS,CTAS,CINTAS CORP,-,0.103466,172908105,,,0000723254,CINTAS CORP,PRESENT
HON,HON,HONEYWELL INTERNATIONAL INC,-,0.102256,438516205,,,0000773840,HONEYWELL INTERNATIONAL INC,PRESENT
AJG,AJG,ARTHUR J GALLAGHER + CO,-,0.101797,363576109,,,0000354190,Arthur J. Gallagher & Co.,PRESENT
RCL,RCL,ROYAL CARIBBEAN CRUISES LTD,-,0.101332,V7780T103,,,0000884887,ROYAL CARIBBEAN CRUISES LTD,PRESENT
